Nan: 12345678G - Data: 2023/04/30 17:57:24
Nan: 12345678B - Data: 2023/05/01 16:13:43
Bezeroa-> Nan: 12345678G - Data: 2023/05/03 14:22:49
Bezeroa-> Nan: 12345678B - Data: 2023/05/03 18:18:10
Bezeroa-> Nan: 12345678B - Data: 2023/05/03 18:18:37
Bezeroa-> Nan: 12345678B - Data: 2023/05/03 18:20:22
Bezeroa-> Nan: 12345678G - Data: 2023/05/03 18:22:15
Bezeroa-> Nan: 12345678B - Data: 2023/05/03 18:28:07
Bezeroa-> Nan: 12345678B - Data: 2023/05/03 18:28:37
Bezeroa-> Nan: 12345678B - Data: 2023/05/03 18:29:08
Bezeroa-> Nan: 12345678G - Data: 2023/05/03 18:29:21
Bezeroa-> Nan: 12345678B - Data: 2023/05/03 18:29:55
Bezeroa-> Nan: 12345678B - Data: 2023/05/04 08:24:16
Bezeroa-> Nan: 12345678B - Data: 2023/05/04 08:24:32
Bezeroa-> Nan: 12345678B - Data: 2023/05/04 08:27:16
Bezeroa-> Nan: 12345678B - Data: 2023/05/04 08:27:33
Bezeroa-> Nan: 12345678B - Data: 2023/05/04 08:29:06
Bezeroa-> Nan: 12345678B - Data: 2023/05/04 08:30:33
Bezeroa-> Nan: 12345678B - Data: 2023/05/04 08:30:40
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 08:43:26
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 08:43:32
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 08:43:42
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 08:43:49
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 08:45:52
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 08:46:38
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 08:48:44
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 08:55:42
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 08:58:00
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:12:12
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:13:16
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:14:44
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:16:22
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:17:58
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:21:21
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:22:48
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:24:47
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:25:53
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:27:55
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:29:53
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:32:39
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:34:27
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:35:45
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:37:31
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:38:12
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:41:44
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:42:58
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:44:18
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:47:27
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:49:42
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:51:09
